subjID,trial_type,object1,object2,response,correct_object,correct,exp,response_object,object1_info,object2_info,trial_subset1,trial_subset2,response_info
61,3,A11,B21,1,NA,FALSE,0,A11,related,baseline,3.3,0,related
61,3,B24,A24,2,NA,FALSE,0,A24,baseline,prac,3.1,0,prac
61,2,CF13,BF13,1,NA,FALSE,0,CF13,short-foil,long-foil,2.4,0,short-foil
61,2,B213,C23,2,NA,FALSE,0,C23,long-list,short-list,2.3,0,short-list
61,3,A27,B27,1,NA,FALSE,0,A27,prac,baseline,3.1,0,prac
61,6,B210,BF24,2,B210,FALSE,0,BF24,long,long-foil,6.2,0,long-foil
61,2,CF14,BF14,1,NA,FALSE,0,CF14,short-foil,long-foil,2.4,0,short-foil
61,6,Dv6,B16,1,NA,FALSE,0,Dv6,single,long,6.1,0,single
61,6,BF26,B211,1,B211,FALSE,0,BF26,long-foil,long,6.2,0,long-foil
61,1,A16,A19,2,NA,FALSE,0,A19,prac,related,1.1,1.4,related
61,2,CF12,C14,2,C14,TRUE,0,C14,short-foil,short,2.2,2.8,short
61,2,BF21,CF23,2,NA,FALSE,0,CF23,long-foil,short-foil,2.4,0,short-foil
61,3,B25,A25,1,NA,FALSE,0,B25,baseline,prac,3.1,0,baseline
61,1,A28,A23,1,NA,FALSE,0,A28,A-end,A-start,1.2,0,A-end
61,4,Dv9,DF9,1,Dv9,TRUE,0,Dv9,single,single-foil,4,4.5,single
61,3,B112,A210,1,NA,FALSE,0,B112,baseline,related,3.2,0,baseline
61,2,C13,B113,1,NA,FALSE,0,C13,short-list,long-list,2.3,0,short-list
61,3,B26,A17,1,NA,FALSE,0,B26,baseline,prac,3.1,0,baseline
61,2,BF12,B114,2,B114,TRUE,0,B114,long-foil,long,2.1,2.6,long
61,4,DF5,Dv5,2,Dv5,TRUE,0,Dv5,single-foil,single,4,4.3,single
61,6,Dv8,B18,1,NA,FALSE,0,Dv8,single,long,6.1,0,single
61,6,B17,BF15,1,B17,TRUE,0,B17,long,long-foil,6.2,0,long
61,6,BF23,B28,2,B28,TRUE,0,B28,long-foil,long,6.2,0,long
